WORD,Val,Val_sd,joy,joy_sd,anger,anger_sd,sadness,sadness_sd,fear,fear_sd,disgust,disgust_sd
kurort,"0,75","0,96654567","2,7727","1,34276964","1,0909","0,2942","1,1818","0,3948","1,2273","0,5284","1,0909","0,2942"
kurve,"0,05","0,68633274","1,7391","1,28690578","1,4783","1,0816","1,3043","1,0196","1,6957","0,974","1,3043","0,9261"
kÃ¼ste,2,"0,92113237","3,6667","1,46059349","1,3333","0,9129","1,8571","1,1952","1,4762","0,9808","1,1905","0,8729"
kutsche,"1,27","1,24","2,6","1,42902249",1,0,"1,05","0,2236",1,0,"1,15","0,4894"
labor,"-0,15","1,08942283","1,8636","1,35560405","1,9545","1,2141","1,6364","1,0931","2,2273","1,3778","2,1364","1,2834"
ladung,"0,15","0,74515982","1,2381","0,62488094","1,1429","0,6547",1,0,"1,0476","0,2182",1,0
lage,"-0,0588235","0,69374594","1,7143","1,27054544","1,0952","0,3008","1,2381","0,7684","1,2857","0,6437","1,0476","0,2182"
lager,"0,1","1,25236618","1,6667","1,31656118","1,7143","1,1892","1,5238","1,1233","1,8571","1,3522","1,5714","1,165"
laken,"0,45","0,75915465","2,2083","1,35065738","1,1667","0,4815","1,25","0,7372","1,4167","1,0598","1,25","0,5316"
lampe,"0,85","0,74515982","2,3636","1,13580073","1,3636","0,8477","1,4091","0,9591","1,3636","0,9535","1,3182","0,9455"
lanze,"-0,55","1,31689427","1,6957","1,1455361","1,6957","1,1051","1,5217","1,0388","1,913","1,1644","1,3043","0,9261"
larve,"-0,4","1,31389337","1,4091","0,90811636","1,4545","1,101","1,2273","0,8691","1,9545","1,588","3,2273","1,6884"
last,"-1,6764706","1,09324616","1,2","0,41039134","3,1","1,3727","2,15","1,1367","2,65","1,4609","1,4","0,8208"
laster,"-1,05","1,23437604","1,0476","0,21821789","1,9524","0,9207","1,4762","0,6796","1,6667","0,9661","1,0952","0,3008"
latein,"-0,15","1,69441808","1,5","0,96362411","1,3636","0,7895",1,0,"1,1364","0,3513",1,0
laterne,"1,24","1,04","2,0952","1,13599128",1,0,"1,1429","0,6547","1,0476","0,2182",1,0
laube,"1,3","1,08093527","2,0952","1,44584791","1,2857","0,9562","1,2857","0,9024","1,2857","0,9024","1,4762","1,2091"
lauer,"-0,6","0,99472292","1,6667","1,2780193","1,7619","1,2611","1,2857","0,9024","2,1429","1,459","1,2857","0,9024"
laufbahn,1,"0,81649658","1,55","0,88704121","1,3","0,5712","1,15","0,3663","1,85","1,0894","1,3","0,8013"
lauge,"-0,4","0,94032469","1,3478","0,88465174","1,3043","0,7648","1,3913","1,0331","1,7826","1,2416",2,"1,3817"
laune,"0,6","0,84327404","2,3043","1,3292097","2,2609","1,1762","1,6957","1,3292","1,5652","0,9451","1,4348","1,0798"
